input : /root/jass/jobs/results/0014-fetch-master-games/artefacts.src/master-1600.jnnw (4738008 records, processing 592251 from offset 592251, drop_skipped=True)
  265000/592251  (44.7%)  rate=243.5 pos/s  eta=22.4 min  written=263198 skipped=1802
  266000/592251  (44.9%)  rate=243.5 pos/s  eta=22.3 min  written=264193 skipped=1807
  267000/592251  (45.1%)  rate=243.4 pos/s  eta=22.3 min  written=265186 skipped=1814
  268000/592251  (45.3%)  rate=243.4 pos/s  eta=22.2 min  written=266182 skipped=1818
  269000/592251  (45.4%)  rate=243.4 pos/s  eta=22.1 min  written=267173 skipped=1827
  270000/592251  (45.6%)  rate=243.4 pos/s  eta=22.1 min  written=268169 skipped=1831
  271000/592251  (45.8%)  rate=243.4 pos/s  eta=22.0 min  written=269163 skipped=1837
  273000/592251  (46.1%)  rate=243.6 pos/s  eta=21.8 min  written=271151 skipped=1849
  275000/592251  (46.4%)  rate=243.7 pos/s  eta=21.7 min  written=273135 skipped=1865
  277000/592251  (46.8%)  rate=243.9 pos/s  eta=21.5 min  written=275112 skipped=1888
  278000/592251  (46.9%)  rate=244.0 pos/s  eta=21.5 min  written=276106 skipped=1894
  279000/592251  (47.1%)  rate=244.1 pos/s  eta=21.4 min  written=277099 skipped=1901
  280000/592251  (47.3%)  rate=244.0 pos/s  eta=21.3 min  written=278096 skipped=1904
  283000/592251  (47.8%)  rate=244.1 pos/s  eta=21.1 min  written=281079 skipped=1921
  285000/592251  (48.1%)  rate=244.1 pos/s  eta=21.0 min  written=283069 skipped=1931
  286000/592251  (48.3%)  rate=244.2 pos/s  eta=20.9 min  written=284062 skipped=1938
  287000/592251  (48.5%)  rate=244.3 pos/s  eta=20.8 min  written=285052 skipped=1948
  288000/592251  (48.6%)  rate=244.3 pos/s  eta=20.8 min  written=286044 skipped=1956
  291000/592251  (49.1%)  rate=244.2 pos/s  eta=20.6 min  written=289025 skipped=1975
  292000/592251  (49.3%)  rate=244.2 pos/s  eta=20.5 min  written=290019 skipped=1981
  293000/592251  (49.5%)  rate=244.2 pos/s  eta=20.4 min  written=291014 skipped=1986
  294000/592251  (49.6%)  rate=244.3 pos/s  eta=20.3 min  written=292007 skipped=1993
  296000/592251  (50.0%)  rate=244.4 pos/s  eta=20.2 min  written=293997 skipped=2003
  297000/592251  (50.1%)  rate=244.4 pos/s  eta=20.1 min  written=294994 skipped=2006
  298000/592251  (50.3%)  rate=244.5 pos/s  eta=20.1 min  written=295987 skipped=2013
  299000/592251  (50.5%)  rate=244.5 pos/s  eta=20.0 min  written=296981 skipped=2019
  301000/592251  (50.8%)  rate=244.4 pos/s  eta=19.9 min  written=298965 skipped=2035
  302000/592251  (51.0%)  rate=244.4 pos/s  eta=19.8 min  written=299960 skipped=2040
  303000/592251  (51.2%)  rate=244.5 pos/s  eta=19.7 min  written=300958 skipped=2042
  304000/592251  (51.3%)  rate=244.5 pos/s  eta=19.7 min  written=301950 skipped=2050
  305000/592251  (51.5%)  rate=244.5 pos/s  eta=19.6 min  written=302945 skipped=2055
  306000/592251  (51.7%)  rate=244.4 pos/s  eta=19.5 min  written=303939 skipped=2061
  307000/592251  (51.8%)  rate=244.5 pos/s  eta=19.4 min  written=304933 skipped=2067
  308000/592251  (52.0%)  rate=244.5 pos/s  eta=19.4 min  written=305922 skipped=2078
  309000/592251  (52.2%)  rate=244.5 pos/s  eta=19.3 min  written=306920 skipped=2080
  310000/592251  (52.3%)  rate=244.4 pos/s  eta=19.2 min  written=307914 skipped=2086
  311000/592251  (52.5%)  rate=244.5 pos/s  eta=19.2 min  written=308901 skipped=2099
  312000/592251  (52.7%)  rate=244.5 pos/s  eta=19.1 min  written=309897 skipped=2103
  316000/592251  (53.4%)  rate=244.4 pos/s  eta=18.8 min  written=313870 skipped=2130
  318000/592251  (53.7%)  rate=244.2 pos/s  eta=18.7 min  written=315851 skipped=2149
  319000/592251  (53.9%)  rate=244.2 pos/s  eta=18.6 min  written=316845 skipped=2155
  321000/592251  (54.2%)  rate=244.0 pos/s  eta=18.5 min  written=318834 skipped=2166
  322000/592251  (54.4%)  rate=244.0 pos/s  eta=18.5 min  written=319818 skipped=2182
  323000/592251  (54.5%)  rate=244.0 pos/s  eta=18.4 min  written=320814 skipped=2186
  325000/592251  (54.9%)  rate=243.8 pos/s  eta=18.3 min  written=322794 skipped=2206
  327000/592251  (55.2%)  rate=243.7 pos/s  eta=18.1 min  written=324782 skipped=2218
  328000/592251  (55.4%)  rate=243.7 pos/s  eta=18.1 min  written=325778 skipped=2222
  329000/592251  (55.6%)  rate=243.7 pos/s  eta=18.0 min  written=326774 skipped=2226
  330000/592251  (55.7%)  rate=243.6 pos/s  eta=17.9 min  written=327763 skipped=2237
  331000/592251  (55.9%)  rate=243.6 pos/s  eta=17.9 min  written=328758 skipped=2242
  332000/592251  (56.1%)  rate=243.4 pos/s  eta=17.8 min  written=329749 skipped=2251
  333000/592251  (56.2%)  rate=243.3 pos/s  eta=17.8 min  written=330744 skipped=2256
  334000/592251  (56.4%)  rate=243.3 pos/s  eta=17.7 min  written=331737 skipped=2263
  335000/592251  (56.6%)  rate=243.3 pos/s  eta=17.6 min  written=332723 skipped=2277
  336000/592251  (56.7%)  rate=243.4 pos/s  eta=17.5 min  written=333712 skipped=2288
  337000/592251  (56.9%)  rate=243.4 pos/s  eta=17.5 min  written=334704 skipped=2296
  338000/592251  (57.1%)  rate=243.5 pos/s  eta=17.4 min  written=335698 skipped=2302
  339000/592251  (57.2%)  rate=243.5 pos/s  eta=17.3 min  written=336692 skipped=2308
  340000/592251  (57.4%)  rate=243.5 pos/s  eta=17.3 min  written=337688 skipped=2312
  342000/592251  (57.7%)  rate=243.4 pos/s  eta=17.1 min  written=339680 skipped=2320
  343000/592251  (57.9%)  rate=243.5 pos/s  eta=17.1 min  written=340676 skipped=2324
  344000/592251  (58.1%)  rate=243.5 pos/s  eta=17.0 min  written=341669 skipped=2331
  345000/592251  (58.3%)  rate=243.5 pos/s  eta=16.9 min  written=342665 skipped=2335
  347000/592251  (58.6%)  rate=243.5 pos/s  eta=16.8 min  written=344658 skipped=2342
  348000/592251  (58.8%)  rate=243.5 pos/s  eta=16.7 min  written=345652 skipped=2348
  350000/592251  (59.1%)  rate=243.5 pos/s  eta=16.6 min  written=347631 skipped=2369
  351000/592251  (59.3%)  rate=243.6 pos/s  eta=16.5 min  written=348618 skipped=2382
  353000/592251  (59.6%)  rate=243.6 pos/s  eta=16.4 min  written=350605 skipped=2395
  354000/592251  (59.8%)  rate=243.6 pos/s  eta=16.3 min  written=351599 skipped=2401
  355000/592251  (59.9%)  rate=243.5 pos/s  eta=16.2 min  written=352596 skipped=2404
  356000/592251  (60.1%)  rate=243.6 pos/s  eta=16.2 min  written=353592 skipped=2408
  357000/592251  (60.3%)  rate=243.6 pos/s  eta=16.1 min  written=354587 skipped=2413
  358000/592251  (60.4%)  rate=243.6 pos/s  eta=16.0 min  written=355584 skipped=2416
  359000/592251  (60.6%)  rate=243.6 pos/s  eta=16.0 min  written=356583 skipped=2417
  360000/592251  (60.8%)  rate=243.6 pos/s  eta=15.9 min  written=357577 skipped=2423
  361000/592251  (61.0%)  rate=243.6 pos/s  eta=15.8 min  written=358570 skipped=2430
  362000/592251  (61.1%)  rate=243.5 pos/s  eta=15.8 min  written=359561 skipped=2439
  363000/592251  (61.3%)  rate=243.5 pos/s  eta=15.7 min  written=360555 skipped=2445
  364000/592251  (61.5%)  rate=243.4 pos/s  eta=15.6 min  written=361548 skipped=2452
  365000/592251  (61.6%)  rate=243.4 pos/s  eta=15.6 min  written=362540 skipped=2460
  366000/592251  (61.8%)  rate=243.5 pos/s  eta=15.5 min  written=363533 skipped=2467
  367000/592251  (62.0%)  rate=243.5 pos/s  eta=15.4 min  written=364531 skipped=2469
  368000/592251  (62.1%)  rate=243.5 pos/s  eta=15.4 min  written=365517 skipped=2483
  369000/592251  (62.3%)  rate=243.5 pos/s  eta=15.3 min  written=366513 skipped=2487
  370000/592251  (62.5%)  rate=243.5 pos/s  eta=15.2 min  written=367508 skipped=2492
  372000/592251  (62.8%)  rate=243.6 pos/s  eta=15.1 min  written=369496 skipped=2504
  373000/592251  (63.0%)  rate=243.6 pos/s  eta=15.0 min  written=370478 skipped=2522
  374000/592251  (63.1%)  rate=243.5 pos/s  eta=14.9 min  written=371471 skipped=2529
