input : /root/jass/jobs/results/0160-gen-more-data-3M/artefacts.src/selfplay-3M.jnnw (3000000 records, processing 375000 from offset 0, drop_skipped=True)
  158000/375000  (42.1%)  rate=202.8 pos/s  eta=17.8 min  written=142134 skipped=15866
  159000/375000  (42.4%)  rate=202.8 pos/s  eta=17.8 min  written=143044 skipped=15956
  162000/375000  (43.2%)  rate=202.7 pos/s  eta=17.5 min  written=145746 skipped=16254
  164000/375000  (43.7%)  rate=202.7 pos/s  eta=17.3 min  written=147544 skipped=16456
  165000/375000  (44.0%)  rate=202.7 pos/s  eta=17.3 min  written=148443 skipped=16557
  166000/375000  (44.3%)  rate=202.7 pos/s  eta=17.2 min  written=149351 skipped=16649
  168000/375000  (44.8%)  rate=202.7 pos/s  eta=17.0 min  written=151163 skipped=16837
  169000/375000  (45.1%)  rate=202.7 pos/s  eta=16.9 min  written=152062 skipped=16938
  172000/375000  (45.9%)  rate=202.7 pos/s  eta=16.7 min  written=154786 skipped=17214
  173000/375000  (46.1%)  rate=202.7 pos/s  eta=16.6 min  written=155669 skipped=17331
  174000/375000  (46.4%)  rate=202.7 pos/s  eta=16.5 min  written=156576 skipped=17424
  175000/375000  (46.7%)  rate=202.7 pos/s  eta=16.4 min  written=157472 skipped=17528
  176000/375000  (46.9%)  rate=202.6 pos/s  eta=16.4 min  written=158374 skipped=17626
  177000/375000  (47.2%)  rate=202.7 pos/s  eta=16.3 min  written=159267 skipped=17733
  178000/375000  (47.5%)  rate=202.7 pos/s  eta=16.2 min  written=160172 skipped=17828
  179000/375000  (47.7%)  rate=202.7 pos/s  eta=16.1 min  written=161073 skipped=17927
  180000/375000  (48.0%)  rate=202.6 pos/s  eta=16.0 min  written=161982 skipped=18018
  181000/375000  (48.3%)  rate=202.6 pos/s  eta=16.0 min  written=162898 skipped=18102
  182000/375000  (48.5%)  rate=202.7 pos/s  eta=15.9 min  written=163781 skipped=18219
  185000/375000  (49.3%)  rate=202.6 pos/s  eta=15.6 min  written=166501 skipped=18499
  186000/375000  (49.6%)  rate=202.6 pos/s  eta=15.5 min  written=167420 skipped=18580
  187000/375000  (49.9%)  rate=202.7 pos/s  eta=15.5 min  written=168308 skipped=18692
  189000/375000  (50.4%)  rate=202.6 pos/s  eta=15.3 min  written=170105 skipped=18895
  191000/375000  (50.9%)  rate=202.7 pos/s  eta=15.1 min  written=171941 skipped=19059
  192000/375000  (51.2%)  rate=202.7 pos/s  eta=15.0 min  written=172840 skipped=19160
  193000/375000  (51.5%)  rate=202.7 pos/s  eta=15.0 min  written=173745 skipped=19255
  194000/375000  (51.7%)  rate=202.7 pos/s  eta=14.9 min  written=174642 skipped=19358
  195000/375000  (52.0%)  rate=202.8 pos/s  eta=14.8 min  written=175546 skipped=19454
  196000/375000  (52.3%)  rate=202.8 pos/s  eta=14.7 min  written=176445 skipped=19555
  199000/375000  (53.1%)  rate=202.8 pos/s  eta=14.5 min  written=179147 skipped=19853
