W:W26;34;40;42;47:B2;4;8;9;10;17;18;22;24;29;32,34-5-8.9.10.18.29,34-5-8.9.10.18.29,99,34-5-8.9.10.18.29,124,34-5-8.9.10.18.29,111,34-5-8.9.10.18.29,139
W:W26;30;31;33;34;35;36;37;38;40;45;47;48:B11;12;13;14;16;17;18;19;20;22;24;27;28,47-42-,48-42-,-4,48-42-,-7,48-42-,-2,34-29-,46
W:W34;35;39;40;45;48:B2;3;8;9;10;13;16;17;19;24;25;29;43,34-5-10.19.29,34-5-10.19.29,16,34-5-10.19.29,20,34-5-10.19.29,15,34-5-10.19.29,6
W:W26;28;29;32;33;34;36;39;40;41;42;45;47;49:B2;4;6;7;8;9;10;12;15;17;18;19;22;25,36-31-,42-38-,-2,26-21-,69,26-21-,44,26-21-,69
W:W26;27;31;32;35;36;38;39;40;42;43;45;47;49:B3;4;6;8;11;12;13;14;16;17;21;23;24;29,47-41-,32-28-,23,32-28-,7,32-28-,3,32-28-,9
B:W31;32;34;36;37;39;40;41;42;43;44;45;47;49:B2;3;6;8;12;13;14;18;19;21;22;23;25;28,21-26-,21-26-,-6,21-26-,-6,25-30-,41,25-30-,44
W:W28;35;38;39;40;42;43;47:B12;13;14;15;18;19;24;27,42-37-,42-37-,-10,28-22-,63,42-37-,-7,28-22-,71
W:W25;27;32;33;34;35;38;39;42;48:B3;11;12;13;16;18;19;21;23;24,33-28-,34-30-,3,34-30-,4,34-30-,3,33-28-,25
W:W26;27;28;30;32;34;35;36;38;40;42;45;47;48;49:B4;6;8;9;11;12;13;15;16;17;18;19;20;23;25,49-44-,38-33-,-2,49-43-,-7,38-33-,-1,38-33-,-4
W:W25;26;31;36;39;40;41;42;46;49;50:B10;12;13;14;17;18;20;22;27;28;33,40-34-,40-35-,-17,42-38-,62,42-38-,42,42-38-,52
W:W25;29;30;33;35;36;37;38;42;43;47;48;49:B1;2;3;9;11;12;13;14;15;18;22;23;27,49-44-,29-24-,-9,29-24-,0,29-24-,-11,29-24-,-6
B:W24;25;27;30;32;35;36;37;38;40;41;42;43;45;46;47;48:B2;3;6;8;9;10;12;13;14;16;17;18;19;21;23;26,10-15-,10-15-,4,10-15-,4,10-15-,9,10-15-,3
W:W25;31;33;34;35;36;38;42;43;47;48:B2;3;11;12;13;14;15;18;22;23;27,34-29-,43-39-,-5,43-39-,-9,33-29-,-6,25-20-,115
W:W19;24;28;29;35;36:B8;9;10;12;13;17;18;25;30,29-23-,29-23-,77,29-23-,163,29-23-,123,29-23-,158
W:W23;26;29;31;36;37;39;42;43:B1;7;9;12;14;16;18;19;22,43-38-,43-38-,-34,43-38-,34,43-38-,-27,43-38-,29
W:W10;25;44:B2;4;7;8;9;13;15;18;20,25-1-7.8.9.20,25-1-7.8.9.20,37,25-1-7.8.9.20,57,25-1-7.8.9.20,65,25-1-7.8.9.20,70
W:W30;34;35;37;38;39;40;41;42;43;45;47;48:B2;3;6;8;12;15;18;19;21;23;24;25;26,39-33-,39-33-,6,39-33-,-2,39-33-,-4,39-33-,-6
W:W36;40;44;45;49:B7;9;15;18;20;25;30;38,49-43-,49-43-,76,49-43-,99,49-43-,114,49-43-,119
B:W25;26;28;30;33;35;36;38;39;40;42;47;48;49;50:B3;4;6;7;8;9;10;12;14;17;18;19;22;24;27,8-13-,18-23-,17,14-20-,35,18-23-,16,14-20-,41
W:W26;27;28;32;38;39;40;41;43:B8;10;12;13;16;17;18;23;24,28-30-23.24,28-30-23.24,114,28-30-23.24,126,28-30-23.24,123,28-30-23.24,127
W:W28;32;33;34;35;36;37;38;39;40;42;43;44;45;48:B3;7;8;9;12;13;15;16;17;18;20;21;24;25;26,34-30-,34-30-,-7,34-30-,102,34-30-,-3,34-30-,106
W:W25;27;28;30;32;33;34;35;37;38;39;43:B6;11;12;13;14;15;16;18;19;23;24;26,28-22-,28-22-,-46,34-29-,-72,28-22-,-66,37-31-,-74
W:W25;27;28;30;32;33;34;35;37;38;39;43:B8;9;12;13;14;16;18;19;21;23;24;26,37-31-,25-20-,-32,34-29-,-33,25-20-,-32,34-29-,-27
